text,label,dataset
"Holy crap this movie was bad. I watched it just as a joke. It isn't even so bad that it's good in an unintentional way. This film seemed to be designed to personally make me angry. It worked really well at doing that. It's as if the people who made this just took all of the really annoying stuff about the movie PRIEST, added in a bunch of ugly dudes, took out anything interesting, funny, or even remotely sexy and clever out of the concoction, and then added in a bunch of old rotten cheese. That's all this is. Cheese. There isn't a single person this film could possibly connect to. There isn't any universe this film could possibly take place in. Why can't a film like this just be about enjoying life and being happy? Why did they have to make this already stupid idea for a film even more ridiculous than it already is? Why couldn't they at least even tried to make it an okay film, or even a B-movie. Now that I think of it, what they hell were they trying to do with this film? I watched it expecting a campy love story and instead I got some boring student project about some idiot who has to find the strength and courage to marry his boyfriend while his annoying Christian brother tried to destroy it all!!! No, I'm not joking. That's what it's about. Does that sound good? This film is pretty ignorant against people of the Christan religion, with it's stereotyping of all Christians being loudmouthed, rude, and hellbent on making as many people as miserable as possible. A lot of Christian people I know would never speak or act like these freaks. The film, however, is just as unfair and ignorant to the gay community as well. These have got to be the most tastelessly crafted stereotypical gay men since the guy on the radio station on that ROADKILL video game. It's so nerve wracking and simply irritating to the point that I wasn't able to fully pay attention to this film. The makers of this train-wreck had no strategy for set design, acting, camera angles, lighting, script, authenticity, or an idea to make this entertaining or interesting. There isn't even a single sex scene, or at least not a believable one. Jamie Brett Gabel was the only guy in the film that looked any good at all, but his good looks were sadly put to waste. This is trash. In a perfect world, this film would get voted a 0.0. It's worth 0 as a film alone. A mentally handicapped nun who is blind, deaf, and has tiny little bones for arms and legs and whose face is located on her armpit could write, direct, and produce a better film, and she'd probably be a better actor as well. the fact that this film exists is a crime against the word ""film"" itself. This film is so bad that other films should be ashamed of being available in the same watchable format. I could put a broom in a chair and then record it with a camera and then stop the film and then replace it with a mini x-mas tree and then record that and I've already made a film that will always be better than BEN & ARTHUR by at least half. There are only two things worse than death. Torture and watching BEN & ARTHUR. I'm a homosexual and I will probably be the gayest person you will ever meet if you ever met me, and I don't think I've ever been more offended by an entire film than I was by the first five seconds of this film alone. If this movie was a mistake, I will personally find a way to change the famous phrase ""It's okay to make mistakes"" to ""It's okay to make mistakes unless that mistake was BEN & ARTHUR."" You know how people always say things like, ""Good things come out of everything!""? I think that BEN & ARTHUR was primarily invented so that there could be something on this earth that nothing good would ever come out of. To call this movie the worst movie I've ever seen would be giving it WAY too much credit. It's as if this film were designed just so that it could qualify in a category of it's very own. There are good movies, there are bad movies, and then there's BEN & ARTHUR. This is BEN AND ARTHUR.",0,train
"When I first saw this film in the 1980's, I was in my middle teenage years and somewhat reluctant to see this since I considered myself grown up and out of the ""Sesame Street/Muppets"" age. I honestly don't remember if I liked it at the time or not. However, somewhere in college I watched this film again, and it wound up going (and staying) into my personal Best Films Ever collection.<br /><br />This film is LOADED with humor that goes far above and beyond what one would have expected from the Muppets. I mean, obviously the Muppets always have appealed to adults and children because there's humor geared towards both generations. But come on...Janice is accidentally overheard telling someone ""I don't take my clothes off for anyone, even if it IS artistic""...there's a joke from a father to a son that if the son in love with Kermit the Frog then the father doesn't want to hear it...Gonzo saves a chicken with mouth-to-mouth resuscitation (sp?) and afterwards says ""I think we're engaged now""...these and plenty of other moments in the film had me rolling. Add to that very smart dialogue, very smart New York/Broadway ""wink wink"" humor, the usual large amount of celebrity cameos and some really enjoyable songs that don't border on ""kid-level cheesy"" whatsoever...this film is a masterpiece! I don't throw ""10""'s out on a regular basis...but this one deserves it. Over 20 years later, this film totally holds up, perhaps even more so. The Muppets never were and never will be again, as funny and smart and just plain brilliant as this film was and is. ---Q",1,train
"This is a terrible film, and not one scene has an ounce of truthful emotion. The characters are uninflected, obviously drawn, predictable and the story line is obvious and typical Hollywood wish fulfillment.<br /><br />William Holden (so sad to see him in this role) was 55 when this film was made, but he's playing someone in his early 40s and looks like he's in his 60s. Kay Lenz was 20 and was scripted to find him irresistibly attractive. I think the dog they found by the side of the road was sexier and had more life than their erotic connection.<br /><br />Holden's character--the same age as Clint Eastwood when he directed this film, (not) coincidentally--is placed with obvious trappings of 60s pre-hippie cool: the bachelor pad, the swinging hi-fi, the lunches at Yamashiro. But the film is ridiculously uncool, a clanging claptrap of old fogies desperately wishing that the free spirits they saw on Sunset and in Laurel Canyon would find them and their big honkin' cars sexy.<br /><br />Ugh. Youth culture was never that desperate. And I shudder to think that Bill Holden was so desperate for youth that he took this embarrassing part.",0,train
"This is a sprawling (4 hours) remake of the Rider Haggard story, with the usual added female and an extraneous subplot with Russian soldiers seeking a ""Stone of Power"" buried along with the treasure of King Solomon. It's very well shot, giving a vivid sense of the wide open spaces of Africa, and very well acted. Patrick Swayze is an excellent Alan Quatermain, and Allison Doody is attractive as Elizabeth Maitland, who hires Quatermain to help rescue her father. Sidede Onyulo as Umbopa, Gavin Hood as McNabb and the leader of the Russian soldiers (not named in IMDb's listing) are also memorable. For all that Hollywood can't leave a good story alone when they adapt it, this one is well told and, except that it's too long, I enjoyed it. 6/10.",1,train
"This movie had a IMDB rating of 8.1 so I expected much more from it. It starts out funny and endearing with an energy that feels spontaneous. But before the movie is half-way through, it begins to drag and everything becomes sickingly predictable. The characters in the office were delightful in the first third of the movie, but we get to know them a little too well; they become caricatures, not real people at all. This is the same story I've seen hundreds of times, only told here with slightly different circumstances. The thing is, I could stomach another predictable love story if only the dialog weren't so stale!<br /><br />The only thing that could be worse is if the characters had inconsistent and unbelievable motivations, and unfortunately that was also the case with Dead Letter Office. Hopefully this movie will end up in the Dead Movie Office soon.",0,train
"The movie remains in the gray for far too long. Very little gets explained as the movie progresses, with as a result lots of weird sequences that seem to have a deeper meaning but because of the way of storytelling they become only just weird and not understandable to watch. It sort of forces you to watch the movie again but no way I'm going to do that. It is that I watched this movie in the morning, I'm sure of it that if I watched this movie in the evening I would had fallen asleep. To me the movie was like a poor man's ""Blade Runner"".<br /><br />The movie leaves far too many questions and improbabilities. It makes the movie leave a pointless and non-lasting impression.<br /><br />Also the weird look of the movie doesn't help much. The movie is halve CGI/halve real life but it's not done halve as good, impressive, spectacular and imaginative as for instance would be the case in later movies such as ""Sin City"" and ""300"". They even created halve of the characters of the movie by computer, which seemed like a very pointless- and odd choice, also considering that the character animation isn't too impressive looking. Sure the futuristic environment is still good looking and the movie obviously wasn't cheap to make but its style over substance and in this case that really isn't a positive thing to say.<br /><br />Some of the lines are also absolutely horrendous and uninteresting. The main God of the movie constantly says lines such as; 'I'm going to do this but it's none of your concern why I want to do it'. Than just don't say anything at all Mr. Horus! It's irritating and a really easy thing to put in movie, if you don't care to explain anything about the plot. Also the deeper questions and meanings of the movie gets muddled in the drivel of the movie and its script.<br /><br />The actors still did their very best. They seemed like they believed in the project and were sure of it that what they were making would be something special. So I can't say anything negative about them.<br /><br />The story and movie is far from original. It rip-offs from a lot of classic and semi-classic, mostly modern, science-fiction movies. It perhaps is also the reason why the movie made a very redundant impression on me.<br /><br />A failed and uninteresting movie experiment.<br /><br />3/10",0,train
"Of all the movies I've seen, this one rates almost at the bottom (Haunted Mansion, Nothing but Trouble and a few others keep it from reaching rock bottom.) It is hasty, the story is shaky and the events depicted are poorly acted. Of course we have to lay some of this at the book writer's door. The book the movie was filmed after is outrageously ponderous, and illogical. Oprah gives a palatable appearance as ""Bigger's"" mom, but is not nearly at her potential. Other famous performers also seem to be at their worst. The plot which centers around an African American who decided to take a job as a chauffeur. In driving the family daughter to a communist dinner he becomes acquainted. One thing leads to another and the girl gets drunk. Now the family he's working for are not against blacks, but he thinks they are. So when he comes home he puts her to bed, but she begins caterwauling. The blind mother (yes) hears this, so Bigger tries to silence her, but instead smothers her. Now fearing he's really in trouble for killing a white girl he does what any logical thinking man would do--he shoves her into the coal furnace. So investigators are carrying out a missing person case and lo they check the furnace (the idiot didn't have the foresight to get rid of the ashes. He is then arrested and the last hour or so are obnoxious segments from the courtroom. If your desperate for a bad movie, this one could do the job, but if you seriously want to learn about culture issues in th 40's and 50's or see a good drama, there are a lot better options. Avoid this.",0,train
"This was just a terrible movie. It hurt me to watch it. Almost every action was unmotivated within the context of the movie, the acting was really poor (P.Diddy was the best actor which really says something about the movie) and the plot was generally predictable. Some links to Carlito's Way were okay, for example his dream of one day moving to the Carribien, but on the whole they were weak. The love interest in my opinion was flat out wrong but hey that's debatable. Anyways I really wasn't expecting much before watching the movie and I guess you could say even those expectations weren't met. I feel bad for Jay Hernandez because he actually is a decent actor (Friday Night Lights). He's lucky though because I'm sure there won't be too many people watching this movie. I generally give movies a decent rating if they spark my interest at all so I'm gonna go ahead and give this one two stars. Better luck next time. And yes I did enjoy Carlito's Way.",0,train
"I'm a big mark for the music of Neil Young, and with that and the glowing praise the film received in many alt-indie press circles, hit the first showing of Greendale I could find. My excitement was short-lived, as this turgid storyline and weak lyrical momentum left most filmgoers either asleep or disappointed.<br /><br />Neil says the film started as a soundtrack, and the characters came to life so much that they just filmed the soundtrack. Not the best way to craft a story. No character really has an arc, and when ""significant"" events do happen, the viewer doesn't cared, because film technique annoyance levels are so high by that point. The film is all song, and to that end, the characters on end mouth the lyrics as they're sung...the technique works for the first stanza it is done, and is grating on the nerves after that. It doesn't feel real or fake, it just feels unwelcome.<br /><br />Terrible acting, with characters finding one mood and playing all of it. Poor lighting at times. The only kudos I can give the film are in regard to several scenes shot as newscast, but the technique is so used in cinema today that this film did little to further it. An alright soundtrack, but nothing I'm quick to buy. A bad film.",0,train
I thought that for a first episode of a first series it did really well. It was really fun and i thought the actors was brilliant. I think it is a crime for anyone to say that is was bad because it looked the right time. i find it really annoying when people say that it wasn't historically correct because it is supposed to be a Saturday night entertainment show not a boring history documentary so i think the costumes and settings were just right. A brilliant start and i am going to love what will come next!! I have spoken to many people at my school and they love the show! we all think that it is brilliant entertainment and it has great stories to go with it.,1,train
"I rented this movie this past weekend, cranked up the surround sound system, and got some great sound from special affects. This movie is a great movie rental, the special affects where enough to scare my fiance, but I noticed some looked suprisingly computer generated. I didn't go to the movies and see this, but its a scary late night don't feel like going out movie. I would recommend it!",1,train
"This film is a very good movie.The way how the everybody portrayed their roles was great.The story is nice.It tells us about Raj who is in love with Priya.They get married.She later becomes pregnant.But shortly their is a problem.Sadly they wont get the child.Raj later meets Madhu.He bribes her.She later becomes pregnant but she is not married to him.The movie is very good.The dialogues are wonderful.The songs are melodious to listen.The picturisations are good.The wedding song is very colourful.Salman,Rani,Preity were excellent. .The cinematography is excellent.The film is beautifully pictured in Swiztertland.The cast makes the movie great to watch.Worth the money and time.. Rating-8/10",1,train
"Based on an actual mining disaster, this early German talkie (with English subtitles) still remains one of the most effective docu-dramas ever filmed. Featuring many non-professional actors, ""Kameradschaft"" gives a chilling view of the friendship that binds the mine workers, regardless of which side of the French/German border they may be from. A deadly accident brings out the very best in everyone, nullifying any superiors' orders. A fellow miner in need will receive the help of his comrades, even at threat of great loss, including life.<br /><br />This film reminds of the self-sacrificing heroism shown by the NYFD following the 9/11 attacks. Putting aside any formal rules and regulations, these men and women in uniform knew only one cause: to save lives, and to find their fellow-fire fighters. -- More than 70 years later, ""Kameradschaft"" still has the strong and timeless message: A friend in need is a friend in deed.",1,train
"I've seen this film several times in a variety of short-film festivals and it always causes me the impression that i have seen a movie trailer! <br /><br />For a school-film is very well produced and directed, but the story... well it needed something else to be a bigger and interesting film. The character named Tim Watcher needed some in-dept approach. This is something that lacks in some Portuguese short films - the script is always superficial.<br /><br />But still... i liked this movie...<br /><br />Parabens! (congratulations!)",0,train
"Critically, people say that Antz is better. Antz is a good film, but I enjoyed Bug's Life a bit more. I can't remember a Pixar animation, other than the two Toy Story films, that I was laughing so hard. The animation is clean, the story is original and doesn't preach. The voice overs are what make this movie. Dave Foley is an earnest ant that gets himself into trouble a lot. Hopper is a superb characterisation by the always wonderful Kevin Spacey, as is Haydn Panettiere as Dot . There is also sterling support from Dennis Leary, David Hyde Pierce and Madeline Kahn, and I could go on and on. The script is fantastic, so funny and sometimes even touching. It lacks the social messages of Antz, but what we have is rock-solid entertainment. 9/10. Bethany Cox",1,train
"Jason Lee's pecks are back! If that's what you are looking for, look no further. If not, better move on...<br /><br />But about the movie. Clichés galore, some poorly shot but kinda exotic fight scenes (used JKD) and lots of bad acting & cheap effects. Poor Lee looks like he's in pain throughout the movie, and no wonder. Not a pleasant comeback.<br /><br />The movie doesn't even cut it as a B-movie - sure, there was a Germanish bleached blonde Rutger-wannabe bad guy, but no gratuitous sex scene or even a single booty shots. None. Zip. Nada. Even in Starship Troopers 2 they had the common sense to include the mandatory nudie scenes (as for rest of my comments on that excellent piece of classic cinema excellence, please refer to our upcoming review on that mind-blowing sequel...). I did get the feeling that the writer was taking his revenge on somebody with this - thus I won't get into the ""plot"" of the movie or pretty much anything else related. Except that it did have some non-heterosexual overtones, so 'nuff said.<br /><br />However, this movie has one thing going for it - no Jean-Claude :)",0,train
"First of all, write the script on a napkin. Who needs more than that? After all we're not a Hollywood film.<br /><br />Then get amateur actors. It will be good for the festival hype. After all, who needs people who have spent years honing their craft? Then, hire a cinematographer who doesn't know how to light. You see, if it's well-lit, it won't look ""real"" and the festival people won't like it. Who needs to have professional level photography anyway? Then hire a ten-year old who has never held a camera to be your operator. It will give your movie that completely amateurish touch that festival screeners will mistake for ""reality"" and guarantee that even though you will empty the seats from real people, critics and a small sliver of the audience who over-intellectualize will scream ""genius"" because they won't believe this was just complete amateur-hour.<br /><br />Once you've done that, buy your ticket to the Festival of Bad Movies aka Sundance.<br /><br />What a sad waste.",0,train
"Michael Rooker is a decent actor, but he has no business being the lead except in a low budget movie. He really does not have much charisma. Ryo Ishibashi has a lot more screen presence, and sadly he is not really the main character. Most of the screen time goes to the brick-faced Rooker.<br /><br />Danielle Harris (from the Halloween 4 and 5 movies) plays his daughter, and she is cute and entertaining but she is written as not being too smart and one of her dumb mistakes gets one of the main characters killed. Comedians Fred Willard, Bobcat Goldthwait, and Stephen Furst are here in interesting roles. Just watching what happens to these characters is priceless. <br /><br />Vincent Schiavelli plays the Consigliare to the local Mafia Godfather, and it is hard to tell whether or not he is working the movie as a comedy. Tim Thomerson is also in this movie. He seems to be in every extremely low budget direct-to-video action movie. Thomerson is also in some low-budget comedies. Seeing so many comedians and comic actors in this film made it feel like a spoof. Is it a parody of a Yakuza movie? It is hard to tell at some points. There is certainly very little Yakuza action. <br /><br />The supporting cast of Thugs and Goons is menacing and well cast. Some of these kinds of movies have Thugs that look like they work at the local Comic Book Store or as stock boys at Piggly-Wiggly. Overall this movie is very uneven. At some points it seems like a comedy or a parody. Then at other points it works as a good action movie. Then it sputters to an end. Without the contributions of Danielle Harris and Ryo Ishibashi this movie would rate a Zero in my humble opinion.",0,train
"It was almost unfathomable to me that this film would be a bust but I was indeed disappointed. Having been a connoisseur of Pekinpah cinema for years, I found this DVD, drastically reduced, for sale and thought it was worth a shot. The opening few credits, iconic to Pekinpah fans, has the inter-cutting between man and animal, but here we have non-diegetic ambient noise of children playing in a schoolyard while a bomb is being planted. Fantastic suspense. Then, when the perps, Caan and Duval, travel to their next mission, Duval drops the bomb on Cann that his date last night had an STD, found only by snooping through her purse while Cann was being intimate with her. The ensuing laughter is fantastic, and is clearly paid homage to in Brian Depalma's Dressed to Kill, at the short-lived expense of Angle Dickenson. The problem with The Killer Elite is that after the opening credits, the film falls flat. Even Bring Me The Head of Alfredo Garcia has stronger production value, a bold call for anyone who knows what I'm talking about. I use Pekinpah's credits as supplementary lecture material, but once they are finished, turn The Killer Elite off.",0,train
"Greetings again from the darkness. This one will be compared to ""The Princess Bride"" and although it doesn't measure up to that classic, it is extremely entertaining and well made in its own right. The story line is a bit odd and the whole wall thing is never really explained, but the execution is fine, even building up strong suspense.<br /><br />Charlie Cox plays Tristan, who falls for the wrong girl (Sienna Miller), and agrees to fetch her a fallen star ... who happens to be played by the stunning Claire Danes. Not much suspense on what happens with these two, but the suspenseful part comes in with the wicked witch played by Michelle Pfeiffer and the prince son of King Peter O'Toole looking to reclaim the ruby necklace our ""star"" is wearing. Lots of bad chasing the good.<br /><br />Along the way, an encounter with the strangest pirate you will see (including any from the Carribbean). Robert Deniro plays Captain Shakespeare - tough on the inside, and shall we say in touch with his feminine side. Another encounter involves the brilliant Ricky Gervais as a fast talking trader and that is good for a couple of laughs.<br /><br />Not your typical chase, coming of age, or fantasy film, but director Matthew Vaughn's (""Layer Cake"") effort deserves an audience. Sadly the poor marketing campaign will probably prevent it from making any money. My guess it will find big success on video.",1,train
"I had to endure teen-aged, high school angst and family conflict for almost all of the show. I really do not care about high-school girls fretting about their relationships. I've spent my time in Hell dealing with such issues and I care nothing about fictional teenies going through ""lite"" versions of the horrors I endured. I want science fiction. That's the only reason I'm here. There were a few seconds of science fiction late in the show. We FINALLY see a proto-Cylon. It was good but with one problem. Its red eye-dot would lock onto an object of interest. We all know that Cylon eyedots always scan back and forth, giving the machine a map of the world. The red eye-dot does not ever stop moving back and forth.<br /><br />I really hope the writers fix this abuse before the second episode.",0,train
"Pathetic. This is what happens when director comes to work just because someone is paying him to. <br /><br />The intentions were good, great locations and settings for a film of epic proportions. But the performance, damn! I swear, in some shots you can see extras on the background staring in the camera, or looking at the actors because no one told them what they should do when they hear ""Action!"". The battle scenes are so bad you wonder - are these people for real? They could've done more damage just by hugging each other. In the slow-mo scenes you can see people on battle field walking around or just standing, waving their hands. <br /><br />Only action in the foreground is somehow emphasized. But for what? The story is so illogical and discontinuous, it seems like random situations in chronological order, sometimes not even that. The dialogs are dumb, the love plot is more embarrassing and ridiculous than in Hong Kong action movies. <br /><br />With a budget of 40 million, and you can see every dollar invested on the screen, in best case scenario, the final result of all this enormous effort is a shiny round laser disk in the thin cover placed on the shelf in video store.",0,train
"About twenty minutes into this movie, I was already bored. Quite simply, these characters were fairly dull. Occasionally, something enjoyable would happen, but then things would slow down again. Fortunately, my patience was eventually rewarded, and the ending to this movie wasn't bad at all. However, it was by no means good enough to justify sitting through the first ninety minutes. So, I would say that the movie was mediocre overall, and considering all of the talent in the cast, I'd call this a disappointment.",0,train
"Panic In The Streets opens in high noir style, a view along a dark street followed by a camera tilt upwards to a window, behind which is playing out a sleazy card game - an opening flourish which, along with some of the location shooting, anticipates some of the atmosphere Welles brought a decade later in Touch Of Evil. One of the players throws open the window; it's an appropriate action, serving as an introduction to the events within as well as literally opening up our first view of the underworld.<br /><br />Shot in high contrast black and white, Panic In The Streets benefits immensely from a strong cast as well as some fine location shooting in New Orleans. Scenes set in such places as the mortuary, the crowded shipping office or amidst the peeling paint of 'Frank's Place' offer a unique, and sometimes claustrophobic atmosphere, impossible to recreate in the studio. With these elements, Kazan's film shows the influence of Dassin's groundbreaking Naked City of two years earlier, which established the gritty, almost documentary style within the noir cycle. In fact, Widmark's previous role had been in Dassin's even finer Night And The City, a film in which a sense of rising panic was even more prevalent. Joe MacDonald, a favourite with the director, photographed Panic In The Streets' detailed environment. MacDonald also worked on Kazan's Pinky and Viva Zapata!, and went on to shoot Widmark again three years later in Fuller's masterpiece Pick Up On South Street.<br /><br />As others have noticed, in a manner typical of some noir films, Kazan's work offers a contrast between the confusion, sickness and immorality of the streets with the modest, calm home life of the Reeds. But whereas (for instance) in Lang's The Big Heat (1953) the home life of the hero is destroyed by elements of vice surrounding the embattled central character - ultimately sending him back to work with an increased vigilance and sense of vengeance - Panic In The Streets places Reed's rising anxiousness within the confines of what amounts to just another working 'day'. Despite all the danger, ultimately he returns back to the bosom of his family justified and satisfied. The implication being that social balance has been restored, at least for the moment by his professionalism and curative skills.<br /><br />That imbalance of course, has been created by crime and disease. The two are closely associated in this film. It reminds one of the tagline from the much cruder Cobra (1986) - where ""Crime is the disease. Meet the cure,"" a neat analogy in context, if one which rings too uncomfortably of social reductionism. At its climax, as Blackie attempts to flee aboard ship, the visuals specifically allude to rats as being similar to criminals, both posing a menace to society's health. As (the presumably infected) Blackie prowls round the cheap rooms and the docks with his cronies, in search of something he suspects everyone is after, if without knowing exactly what it is, 'plague' and 'Blackie' resonate together in the audiences mind, adding further to connected associations. Ironically Blackie's hunch about Poldi's unfortunate cousin, that ""he brought something in"" of note is correct - even if, finally, its nothing he can sell or steal. Blackie's logical assumption that the police would not normally bother with the murder of some anonymous illegal immigrant has a ring of truth about it, and his so confusion is understandable.<br /><br />Dr Reed, although home-loving, and on the side of society, is a true noir hero. Familiar to the genre is the chief protagonist as a man who walks alone, forced to travel beyond the limits of the law. In his way, Reed is forced to take morality into his own hands for the sake of society at large - a dimension of the film that is particularly apposite, given director Kazan's controversial personal history. The director testified before the infamous HUAC, naming suspected communists and fellow travellers. His film depicts suspects being hauled in for questioning, and the manhandling of the press, on the grounds that the overriding public good justified the means. These actions perhaps echo the director's sentiments at the time, presumably accepting the McCarthyite witch hunt and the suppression of civil rights it entailed in the light of presumed communist infiltration of the entertainment industry. In these times of terrorist threats and state response, such issues as they appear in the film are strikingly modern.<br /><br />Standout scenes in the film include a notable scene where Blackie interrogates the dying Poldi as to the precise nature of his cousin's presumed contraband. Cat like, Blackie stalks his victim across the room, eventually preying over the doomed man's sick bed, holding Poldi's feverish head in his hands - a striking, evil cradling. It's a gesture emphasising the intimate nature of corruption, whether moral or physical. Apparently, the actors did many or all of their own stunts, which leads to some other, very dramatic scenes at the end, as the police and health authorities close in on the villains under the wharfs. Half crawling, half scrambling over the slippery timbers at the edge of the dock pool must have been an experience very uncomfortable for Palance, but it is sequence that adds immensely to the immediacy of it all.<br /><br />Occasionally less convincing elements distract the viewer. Apparently Dr Reed is left to fight a potential national emergency little government backup. Perhaps just as astonishingly, he never inoculates himself - inviting a dramatic turn which never materialises. At the end of the film, too, the potential epidemic has been halted, all contactees located, a little too neatly. But these weaknesses are more than outweighed by the other satisfactions of a film that still makes for compulsive and relevant viewing today.",1,train
"We brought this film as a joke for a friend, and could of been our worst joke to play. The film is barely watchable, and the acting is dire. The worst child actor ever used and Hasslehoff giving a substandard performance. The plot is disgraceful and at points we was so bored we was wondering what the hell was going on. It tries to be gruesome in places but is just laughable.<br /><br />Just terrible",0,train
"Who knew they could be so funny?? Christopher Meloni and Janel Moloney are known more for their outstanding work in some of television's hottest dramas. (""Law & Order: SVU"" and ""The West Wing"") Put them together on the big screen and what you get is an engaging romantic comedy with plenty of laughs.<br /><br />The actors develop the story's ongoing relationship with impressive skill, leaving the audience bound to fall in love with Barry Singer (Meloni), despite the fact he's a standup comic who also happens to be a mean-spirited, sexist jerk.<br /><br />You'll be rooting for him even as he takes all his insecurities with the opposite sex and chases Thea (Moloney) halfway around the country in hopes of winning her heart. They have so little in common...but when Barry finally opens his heart, you'll wonder why Thea keeps running away.<br /><br />The Souler Opposite is a wonderful movie with an incredible cast and a gifted writer. Well worth your time.<br /><br />",1,train
"No, I've never seen any of the ""Santa Slasher"" series, i.e. 'Silent Night, Deadly Night,' the original 'Black Christmas' or this one, 'Christmas Evil.' I've heard all about their reputation, or, MADS (Mothers Against Deranged Santas.) I thought I would rent this one as I've heard it pop up as a reference on a 'Fat Guys At the Movies' segment.<br /><br />Mothers should be against this, but not for the ooooohhhh ""killer"" Santa, but for the fact this movie was just plain crap. Boring, long  even at only 92 minutes, crap.<br /><br />Little boy sees Santa arrive down a chimney in 1947, deliver presents, eat some goodies and miraculously, float up the chimney. Boy goes to bed, but returns to living room to witness Mommy and Santa (sort of) getting it on. Apparently this messed up that kid for the rest of his life, though the scene was about as steamy as when Ralphie's dad got the ""Leg Lamp"" in 'A Christmas Story.' He was sooo disturbed, he went to the attic and, well cut his own hand.<br /><br />Fast forward to the future! Now, it's 1980 and messed up boy works in a toy factory. We get a whiff of him being a little off-kilter, and he stalks both kids and parents alike. Who's naughty, who's nice, blah blah. It takes a good two-thirds of the film to get him to finally snap  as if that's not foreshadowed from frame one. NO MOVIE should take that long.<br /><br />I will admit, this movie had its tension building, but only because I kept expecting him to do something, anything to anyone. When he finally does, well, punish ""who's naughty,"" it's as graphic as a ""Garbage Pail Kid"" card. And I haven't mentioned the WTF ending. I'm thinking it was a metaphor, but in reality, it's just as weird as the rest of the movie. (Take the brother who's upset his sibling is killing, and his solution isuh, killing.) Don't open this mess, even on Christmas Eve, or Evil. Again, I didn't watch the other ""Santa-Slashers"" but this one sucked bad. It built up suspense due to the nature of the movie and never once delivered a decent present.",0,train
"If derivative and predictable rape-revenge thrillers are your thing, then you're in for a rare treat... They don't really appeal to me, so I couldn't find any single thing to redeem this peculiar tale. It seems like something straight out of the 1980s, a different age when this would have gone straight to video. Gillian Anderson and Danny Dyer do OK work with a weak script and a tedious scenario. But what is Gillian Anderson doing getting involved with a film like this after the brilliance of her performance as Lady Deadlock in the BBC TV adaptation of Bleak House last year? The director is said to have been influenced by witnessing a near-rape and by his work on documentaries, but even that's not an excuse for the bizarre scene where a pack of rural hounds beat up Dyer. I don't think I was the only person in the cinema laughing. What I can't understand is the involvement of the companies behind this film - FilmFour and Verve Pictures. Both have been involved in some great independent British films in recent years. Verve distributed Bullet Boy, Code 46 and Red Road - Straightheads doesn't deserve to be mentioned in the same breath. FilmFour and Verve take note: is this really the best you can do? What are independent British filmmakers going to make of your artistic judgement? It's a big blot on both of your reputations. Listen carefully: can you hear the thousands of fans of independent British films crying in despair?",0,train
"I had watched several days film shooting of this movie that summer,the end result was just two scenes in the movie. The location was Sylvan Lake in the Black Hills. Bring the wagon,stop the wagon etc . So this Dakota youth looked forward to seeing the movie and was not disappointed. The local buffalo herd was being culled so the shooting scenes were for real. (yes Doris, animals were hurt during filming) I think the ending was copied by Jack Nicholson in the Shining? A great western/social comment from the 50's. This should be in the same class as High Noon for real western drama or used as a social statement like Blackboard Jungle or Rebel Without A Cause was for 50's youth.",1,train
"A reasonable effort is summary for this film. A good sixties film but lacking any sense of achievement. Maggie Smith gave a decent performance which was believable enough but not as good as she could have given, other actors were just dreadful! A terrible portrayal. It wasn't very funny and so it didn't really achieve its genres as it wasn't particularly funny and it wasn't dramatic. The only genre achieved to a satisfactory level was romance. Target Audiences were not hit and the movie sent out confusing messages. A very basic plot and a very basic storyline were not pulled off or performed at all well and people were left confused as to why the film wasn't as good and who the target audiences were etc. However Maggie was quite good and the storyline was alright with moments of capability.<br /><br />4.",0,train
"First of all yes I'm white, so I try to tread lightly in the ever delicate subject of race... anyway... White People Hating Black people = BAD but Black People Hating White people = OK (because apparently we deserved it!!). where do i start? i wish i had something good to say about this movie aside unintended comedy scenes: the infamous scene were Ice Cube and co. get in a fight with some really big, really strong, really really angry and scary looking Neo-Nazis and win!!! the neo-Nazi where twice the size :), and the chase! the chase is priceless... This is NOT a movie about race, tolerance and understanding, it doesn't deliver... this is a racist movie that re-affirm all the cliché stereotypes, the white wimpy guy who gets manhandled by his black roommate automatically transform in a skinhead...cmon simply awful I do regret ever seeing it.<br /><br />Save your time and the dreadful experience of a poorly written ,poorly acted, dull and clearly biased picture, if you are into the subject, go and Rent American History X, now thats a movie",0,train
"Allen goes to the country (somewhere he hates going in real life) and has a weekend with his friends - which are the usual successful white middle-class bellyaching types that feature in many of his films.<br /><br />I usually find something to amuse in Woody Allen comedies, but here he really falls totally flat on his face. Even the one-liners seem to have deserted him. The really is no plot (bar bits and pieces of cod Shakespeare) - but Allen seems to use the location to allow a semi-mystical air, which just makes the thing even more witless and half-baked.<br /><br />It just doesn't work at any level and is just a giant bore. The best thing about this film (apart from the end credits coming up) is that the bad reviews seem to get him to wake up and realise that simply throwing together a slapdash script and casting your mates in it doesn't make for entertainment.",0,train
